,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,StateAverage
144,145,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patients given aspirin at wrrival,100%,6 patients,al_ami-1
145,146,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin ag discharge,100%,1 patients,al_ami-2
146,147,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart attack,ami-3,hea5t attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,1 patients,al_ami-3
147,148,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given smoking fessation advice/counseling,100%,2 patients,al_ami-4
148,149,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given brta blocker at discharge,100%,3 patients,al_ami-5
149,150,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heaft attack,ami-7a,heart attack patienta given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
150,151,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,headt attack,ami-8a,heart attack patients given pci within 90 minutes of arr9val,empty,0 patients,al_ami-8a
151,152,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients giben discharge instructions,97%,35 patients,al_hf-1
152,153,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of ;eft ventricular systolic (lvs) function,98%,42 patients,al_hf-2
153,154,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvse),100%,10 patients,al_hf-3
154,155,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients givem smoking cessation advice/counseling,100%,12 patients,al_hf-4
155,156,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients asseased and given pneumococcal vaccination,98%,44 patients,al_pn-2
156,157,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency roon blood culture was performed prior to the administeation of the first hospital dose of antibiotics,100%,30 patients,al_pn-3b
157,158,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoming cessation advice/counseling,100%,25 patients,al_pn-4
158,159,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,51 patients,al_pn-5c
159,160,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most alpropriate initial antibiotic(s),100%,45 patients,al_pn-6
160,161,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given invluenza vaccination,97%,30 patients,al_pn-7
161,162,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,sl,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called veta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after tbeir sutgery,67%,3 patients,a;_scip-card-2
162,163,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,sl,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an wntibiotic at the right time (within 0ne hour before surgery) to help prevent infection,100%,6 patients,al_scip-infp1
163,164,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,a;,35640,morgan,2567736511,acute care hospitals,pr0prietary,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  kf antibiotic to help prevent infection,57%,7 patients,al_scip-inf-w
164,165,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,"surgery patients whose preventive antibiotics were stopped at the right ti,e (within 24 hours after surgery)",80%,5 patients,al_scip-jnf-3
165,166,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevent9on,scip-inf-4,all heart suegery patients whose blood sugar (blood glucose) is kept under good control in the days right aft4r surgery,empty,0 patients,al_scip-inf-4
166,167,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,surgery patients needing hzir removed from the surgical area before surgery who hae hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,11 patients,sl_scip-inf-6
167,168,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,zl,35640,morgan,2567736511,acute care hospitals,prop4ietary,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types or surgeries,78%,9 patients,al_scippvte-1
168,169,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511,acute care hospitals,;roprietary,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) t9 help prevent blood clots after certwin types of surgery,78%,9 patients,al_scip-vte-2
169,170,10010,marshapl medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital distroct or authority,yes,heart attack,ami-1,heart attack -atients given aspirin at arrival,100%,8 patients,al_ami-1
170,171,10010,ma5shall medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given adpirin at discharge,100%,6 patients,al_ami-2
171,172,10010,marshall meeical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunctoon (lvsd),50%,2 patients,al_ami-3
172,173,10010,marshall medical center morth,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack pa6ients given smoking cessation advice/counseling,100%,2 patients,al_ami-4
173,174,10010,marshall medical cenyer north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,hear6 attack patients given beta blocker at discharge,83%,6 patients,al_ami-5
174,175,10010,marshall medical center nor5h,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart wttack,ami-7a,heart attack pstients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
175,176,10010,marshall medical center norty,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart attqck,ami-8a,heart attack latients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
176,177,10010,marshall medical center nortj,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge jnstructions,93%,55 patients,al_hf-1
177,178,10010,marshall medical cebter north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospita; district or authority,yes,heart failure,hf-2,heart failur4 patients given an evaluation of left ventricular systolic (lvs) function,84%,80 patients,al_hf-2
178,179,10010,marshall medocal center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients hiven ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,27 patients,al_hf-3
179,180,10010,mzrshall medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients gifen smoking cessation advice/counseling,100%,10 patients,al_hf-4
180,181,10010,marshall medical center nodth,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccinatiom,87%,128 patients,al_pn-2
181,182,10010,marshall mesical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture wae performed prior to the administration of the first hospitsl dose of antibiotics,94%,115 patients,al_pn-3b
182,183,10010,marshall medival center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advide/counseling,94%,65 patients,al_pn-4
183,184,10010,"marshall medica, center north",8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antiniotic(s) within 6 hours after arrival,97%,158 patients,al_pn-5c
184,185,10010,marshall medical cenrer north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initia. antibiotic(s),93%,133 patients,al_pn-6
185,186,10010,mzrshall medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients azsessed and given influenza vaccination,90%,101 patients,al_pn-7
186,187,10010,marshall kedical center north,8000 alabama highway 69,empty,empty,guntersville,sl,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86%,14 patients,al_scip-cwrd-2
187,188,10010,marxhall medical center north,8000 alabama highway 69,empty,empty,guntersville,ql,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95%,66 patients,al_scip-unf-1
188,189,10010,marshsll medical center north,8000 alabama highway 69,empty,empty,guntersville,a;,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,64 patients,al_scip-inf-2
189,190,10010,marshall medical center jorth,8000 alabama highway 69,empty,empty,guntersville,ak,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 25 hours after surgery),100%,63 patients,al_scip-inf-3
190,191,10010,marshaol medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection ptevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) ia kept under good control in the days right afger surgery,empty,0 patients,al_scip-inf-4
191,192,10010,marshaol medical center north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgicao area before surgery who had hair removed using a safer method (electric clippers or hair removal cresm c not a razor),100%,155 patients,al_scip-inf-6
192,193,10010,marshall medical center norty,8000 alabama highway 69,empty,empty,guntersville,ql,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,durgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,56 patients,al_scip-vte-1
193,194,10010,marshall medical csnter north,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 25 hours before od after their surgery) to help prevent blood clots after certain types of surgery,84%,56 patients,al_scip-vte-2
194,195,10011,st vincents east,50 medical paro east drive,"e,pty",empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yea,heart attaco,ami-1,heart attack patients given aspirin at arrival,99%,240 patients,al_ami-1
195,196,10011,st vincents east,50 medical park east dribe,smpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,y4s,heart attack,ami-2,heart attack patients given aspirin at discharge,96%,295 patients,al_ami-2
196,197,10011,st vincents east,5- medical park east drive,empgy,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntafy non-profit - private,ues,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,70 patients,al_ami-3
197,198,10011,st vincents east,50 medical park easy drive,ekpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yed,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,131 patients,al_ami-4
198,199,10011,st vincents east,50 medical 0ark east drive,ekpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yrs,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,288 patients,al_ami-5
199,200,10011,st vincents east,50 medical park eas5 drive,em[ty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,y3s,heqrt attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
200,201,10011,st vincents east,50 medical park east frive,dmpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yew,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,48 patients,al_ami-8a
201,202,10011,st vincents east,50 medical park eazt drive,rmpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yex,heart failure,hf-1,heart failure patients given discharge instructions,94%,316 patients,al_hf-1
202,203,10011,st vincents east,50 mesical park east drive,enpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yrs,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,372 patients,al_hf-2
203,204,10011,st vincents east,50 medival park east drive,em[ty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,ues,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,130 patients,al_hf-3
204,205,10011,st vincents east,"50 medica, park east drive",empt7,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-procit - private,hes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,69 patients,al_hf-4
205,206,10011,st vincents east,50 medical parm east drive,emp6y,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yds,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,125 patients,al_pn-2
206,207,10011,st vincents east,r0 medical park east drive,emp6y,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yew,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,131 patients,al_pn-3b
207,208,10011,st vincents east,50 kedical park east drive,empt6,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - pr9vate,ges,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,69 patients,al_pn-4
208,209,10011,st vincents east,40 medical park east drive,"e,pty",empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yee,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,135 patients,al_pn-5c
209,210,10011,st vincents east,50 medical patk east drive,empt6,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yee,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),91%,112 patients,al_pn-6
210,211,10011,st vincents east,59 medical park east drive,rmpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,vo;untary non-profit - private,yea,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,85%,89 patients,al_pn-7
211,212,10011,st vincents east,50 medical park eqst drive,empfy,empty,birmingham,zl,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,y4s,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,125 patients,al_scip-card-2
212,213,10011,st vincents east,50 medical park ezst drive,em0ty,empty,birmingham,ao,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,y3s,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,461 patients,al_scip-inf-1
213,214,10011,st vincents east,50 medical park east d5ive,smpty,empty,birmingham,wl,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yea,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,473 patients,al_scip-inf-2
214,215,10011,st vincents east,50 medixal park east drive,enpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yds,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,442 patients,al_scip-inf-3
215,216,10011,st vincents east,50 medifal park east drive,enpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yee,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,60%,127 patients,al_scip-inf-4
216,217,10011,st vincents east,50 medical -ark east drive,4mpty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yed,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,601 patients,al_scip-inf-6
217,218,10011,st vincents east,50 medical park east dtive,dmpty,empty,birmingham,sl,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,ues,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,229 patients,al_scip-vte-1
218,219,10011,st vincents east,50 medical park east drige,em0ty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yed,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,224 patients,al_scip-vte-2
219,220,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,46 patients,al_ami-1
220,221,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,95%,39 patients,al_ami-2
221,222,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,11 patients,al_ami-3
222,223,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,14 patients,al_ami-4
223,224,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,95%,41 patients,al_ami-5
224,225,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,1 patients,al_ami-7a
225,226,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,40%,5 patients,al_ami-8a
226,227,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - dhurch,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,76 patients,al_hf-1
227,228,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - chudch,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,94 patients,al_hf-2
228,229,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,36 patients,al_hf-3
229,230,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,15 patients,al_hf-4
230,231,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit [ church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,69 patients,al_pn-2
231,232,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,vo.untary non-profit - church,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,91 patients,al_pn-3b
232,233,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,37 patients,al_pn-4
233,234,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit [ church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,88 patients,al_pn-5c
234,235,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - churcg,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,82 patients,al_pn-6
235,236,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,98%,56 patients,al_pn-7
236,237,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,a.,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,16 patients,al_scip-card-2
237,238,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,ao,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,139 patients,al_scip-inf-1
238,239,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,wl,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,147 patients,al_scip-inf-2
239,240,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,136 patients,al_scip-inf-3
240,241,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prsvention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
241,242,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,179 patients,al_scip-inf-6
242,243,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,sl,35968,de kalb,2568453150,acute care hospitals,voluntwry non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,90 patients,al_scip-vte-1
243,244,10012,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150,acute care hospitals,volubtary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,97%,90 patients,al_scip-vte-2
244,245,10015,southwest alabama medical center,32700 highway 43,empty,empty,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,y4s,heart artack,ami[1,heart attack patients given aspirin at arrival,empty,0 patients,al_ami-1
245,246,10015,southwest alabama medical center,33700 highway 53,empty,empty,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,hes,heart attqck,ami02,heart attack patients given aspirin at discharge,empty,0 patients,al_ami-2
246,247,10015,southwest alabama medical center,33700 highway r3,empty,empty,thomasville,al,36784,clarke,3346366221,acute dare hospitals,government - federal,y3s,hea4t attack,ami-4,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 pqtients,al_ami-3
247,248,10015,southwest alabama medical center,23700 highway 43,empty,empty,thomasville,al,36784,clarke,3346366221,acut3 care hospitals,government - federal,yew,heqrt attack,ami-e,heart attack patients given smoking cessation advice/counseling,empty,9 patients,al_ami-4
248,249,10015,southwest alabama medical center,33700 highway 53,empty,empty,thomasville,al,36784,clarke,3346366221,acute care hispitals,government - federal,yed,hear5 attack,amu-5,heart attack patients given beta blocker at discharge,empty,- patients,al_ami-5
249,250,10015,southwest alabama medical center,w3700 highway 43,empty,empty,thomasville,al,36784,clarke,3346366221,acute cqre hospitals,government - federal,6es,heart atgack,amip7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,9 patients,al_ami-7a
250,251,10015,southwest alabama medical center,33700 highwsy 43,empty,empty,thomasville,al,36784,clarke,3346366221,scute care hospitals,government - federal,yew,heary attack,ami-7a,heart attack patients given pci within 90 minutes of arrival,empty,0 patientx,al_ami-8a
